id;complexity;dispatch_time;dead_line;rate
1;EXTREME;2019-05-28T11:48:43;2019-05-28T12:43:51;90682
2;EXTREME;2019-05-28T04:49:07;2019-05-28T10:06:45;52
3;EXTREME;2019-05-28T07:32:42;2019-05-28T10:20:43;48482
4;EXTREME;2019-05-28T13:53:50;2019-05-28T12:15:37;24412
5;EXTREME;2019-05-28T10:40:15;2019-05-28T11:38:09;6489
6;EXTREME;2019-05-28T03:16:07;2019-05-28T13:08:31;14808
7;EXTREME;2019-05-28T13:57:37;2019-05-28T05:44:01;97661
8;EXTREME;2019-05-28T12:04:53;2019-05-27T22:33:53;63435
9;EXTREME;2019-05-28T07:37:14;2019-05-28T08:36:58;44778
10;EXTREME;2019-05-28T11:29:29;2019-05-28T14:39:35;24215
